index,TestQuestionID,KnowledgeID,q_Level
258,1595,410,1
259,2922,585,2
260,3037,698,1
261,4186,946,3
262,1315,300,1
263,2659,638,2
264,1681,403,1
265,3701,829,1
266,416,34,3
267,330,550,1
268,15,4,1
269,5172,1104,1
270,5578,1290,3
271,3886,879,1
272,1972,505,3
273,5116,1200,1
274,927,218,1
275,1414,357,2
276,639,180,1
277,1291,300,1
278,2195,1207,1
279,318,67,3
280,269,35,1
281,3138,711,1
282,4895,1104,1
283,3850,892,1
284,5141,1104,1
285,2836,665,2
286,1057,215,2
287,1558,370,1
288,2714,639,2
289,4030,936,2
290,3064,682,1
291,4297,1095,1
292,2771,655,2
293,3237,746,1
294,3038,579,2
295,373,80,3
296,3049,700,2
297,781,184,1
298,961,433,2
299,2454,600,2
300,4569,1074,1
301,1767,432,1
302,2936,674,2
303,1539,339,1
304,3414,794,1
305,1378,351,2
306,2128,506,3
307,4096,929,2
308,494,94,3
309,4696,1099,1
310,3154,717,1
311,2700,639,3
312,1877,453,2
313,1456,339,2
314,3006,691,1
315,124,0,1
316,212,423,3
317,866,745,1
318,2904,674,2
319,4320,1140,1
320,294,34,1
321,1473,360,1
322,3790,882,1
323,3027,695,1
324,82,0,1
325,4814,1120,1
326,3237,746,1
327,2545,610,2
328,5612,193,1
329,5344,1241,1
330,234,34,1
331,2717,639,2
332,5523,1266,1
333,3351,774,2
334,2163,506,3
335,5528,1283,2
336,3834,890,1
337,4548,1053,1
338,4125,945,3
339,5540,1266,2
340,3659,839,1
341,3573,746,2
342,5338,1241,1
343,223,48,1
344,5390,1104,1
345,3470,766,3
346,2272,549,1
347,3907,879,1
348,5560,211,1
349,110,0,1
350,2119,505,3
351,1524,367,2
352,962,216,3
353,2727,639,2
354,5225,1207,1
355,3330,769,1
356,2610,629,3
357,3159,462,1
358,994,218,1
359,3573,746,2
360,3943,905,1
361,1677,411,3
362,889,851,1
363,336,34,1
364,2507,610,2
365,2943,674,2
366,3580,829,1
367,2667,638,2
368,3957,910,1
369,877,194,1
370,1960,472,5
371,2285,547,1
372,4877,980,1
373,3981,916,1
374,3157,721,1
375,294,34,1
376,1504,367,1
377,2105,506,1
378,14,1,1
379,2180,505,3
380,5437,1259,1
381,3039,695,1
382,2785,652,2
383,2869,638,2
384,3689,841,1
385,4475,542,1
386,747,165,1
387,3862,879,1
388,2734,639,2
389,4041,433,2
390,1902,467,1
391,5589,689,2
392,820,185,1
393,3715,845,1
394,2611,631,3
395,982,215,2
396,5143,1206,1
397,5522,1266,2
398,287,34,1
399,3399,1190,1
400,3020,682,1
401,4631,1086,1
402,5584,1266,1
403,3664,840,1
404,5012,1183,1
405,4067,935,3
406,1585,380,1
407,138,0,1
408,1353,345,2
409,5188,1104,1
410,3057,701,1
411,3913,902,1
412,1972,505,3
413,4455,1046,1
414,77,0,1
415,982,215,2
416,2795,652,2
417,88,12,1
418,5254,591,2
419,5249,1202,1
420,109,0,1
421,5616,452,3
422,4925,1151,1
423,5344,1241,1
424,179,1104,1
425,4576,1076,1
426,2507,610,2
427,5559,211,1
428,548,133,3
429,5353,1242,1
430,4664,1084,1
431,5171,1207,1
432,1754,423,3
433,259,34,1
434,4989,1104,1
435,5493,915,3
436,5044,1183,1
437,178,1104,1
438,4689,1092,1
439,5104,1201,1
440,1276,323,1
441,1902,467,1
442,3701,829,1
443,1481,360,1
444,3094,707,2
445,2640,610,2
446,244,34,3
447,4085,915,1
448,4683,1078,1
449,4324,1011,1
450,4865,821,1
451,701,169,1
452,2313,554,1
453,5328,1240,1
454,3829,888,1
455,2500,611,2
456,4569,1074,1
457,1487,362,1
458,2522,617,2
459,441,34,1
460,2700,639,3
461,998,218,2
462,5347,1242,1
463,4625,462,1
464,5476,208,2
465,2984,682,1
466,5535,1278,3
467,2588,610,1
468,3726,848,1
469,2358,576,2
470,4476,1098,1
471,2434,592,1
472,1013,95,2
473,5469,1269,3
474,2337,583,2
475,3330,769,1
476,2816,661,1
477,3149,711,2
478,2358,576,2
479,1941,1042,1
480,3499,815,1
481,877,194,1
482,4890,1138,1
483,259,34,1
484,737,165,2
485,1033,216,1
486,2835,671,2
487,256,34,1
488,4448,1042,1
489,471,94,1
490,2160,506,1
491,58,12,1
492,1009,1267,1
493,831,165,1
494,3594,829,1
495,405,34,1
496,2850,666,3
497,154,34,1
498,325,65,3
499,2411,554,1
500,156,37,1
501,1291,300,1
502,3962,912,1
503,12,1,1
504,2,1,1
505,2611,631,3
506,727,176,1
507,889,851,1
508,1487,362,1
509,2737,639,3
510,5603,177,2
511,5249,1202,1
512,2640,610,2
513,3203,733,1
514,3583,746,1
515,2967,682,2
516,2940,681,2
517,3640,746,1
518,3254,746,1
519,1378,351,2
520,5319,1239,1
521,5114,1200,1
522,2870,661,1
523,2659,638,2
524,393,1221,2
525,1279,300,1
526,4513,1058,1
527,2568,1008,1
528,5372,1221,1
529,2588,610,1
530,2561,618,2
531,1694,376,1
532,3154,717,1
533,2011,483,1
534,1816,368,2
535,4071,915,1
536,2111,505,3
537,1921,461,1
538,2433,594,2
539,4064,915,1
540,1402,355,1
541,319,57,1
542,3704,746,1
543,4548,1053,1
544,4587,1077,1
545,2529,621,1
546,1343,339,1
547,2285,547,1
548,195,55,3
549,4952,1104,1
550,2536,620,2
551,2788,657,3
552,2585,610,2
553,3548,831,1
554,3802,887,1
555,2544,618,2
556,3488,812,1
557,2627,630,1
558,2961,685,2
559,2749,648,2
560,3562,832,1
561,4574,1078,1
562,2141,506,1
563,747,165,1
564,3428,790,1
565,145,25,3
566,2607,610,3
567,2143,506,3
568,387,82,1
569,44,10,1
570,288,57,3
571,2785,652,2
572,330,550,1
573,1012,226,2
574,3842,888,1
575,431,82,1
576,2828,638,1
577,2486,610,3
578,5156,1208,1
579,1886,215,2
580,2545,610,2
581,1975,461,3
582,3663,840,1
583,3652,746,1
584,5049,1183,1
585,809,185,1
586,2516,610,1
587,3112,583,1
588,4872,1139,1
589,5036,996,1
590,1782,376,1
591,3652,746,1
592,405,34,1
593,1927,467,3
594,841,194,1
595,174,39,1
596,613,147,1
597,4650,999,1
598,916,213,1
599,5131,1104,1
600,927,218,1
601,2595,629,2
602,1796,434,1
603,2978,688,2
604,4324,1011,1
605,1057,215,2
606,4384,1030,1
607,2686,638,2
608,4558,1042,1
609,4877,980,1
610,1294,327,1
611,946,215,1
612,3037,698,1
613,2385,572,2
614,336,34,1
615,1429,339,1
616,1890,216,1
617,4280,996,1
618,124,0,1
619,5347,1242,1
620,269,35,1
621,1456,339,2
622,901,215,2
623,1430,370,1
624,1816,368,2
625,5114,1200,1
626,2875,1266,2
627,1849,447,2
628,896,194,1
629,805,165,1
630,3157,721,1
631,1456,339,2
632,2909,676,2
633,673,1104,1
634,5217,1200,1
635,1271,322,1
636,3965,879,1
637,1809,434,1
638,2809,661,3
639,362,77,1
640,1797,1266,1
641,5589,689,2
642,4513,1058,1
643,400,82,1
644,5217,1200,1
645,4602,1079,1
646,3102,714,1
647,1414,357,2
648,2283,547,1
649,3996,929,2
650,3077,707,1
651,2195,1207,1
652,1651,376,1
653,734,996,1
654,1816,368,2
655,2989,682,2
656,2610,629,3
657,916,213,1
658,269,35,1
659,234,34,1
660,5616,452,3
661,5487,1266,2
662,798,173,1
663,4059,933,1
664,3674,746,1
665,5138,1204,1
666,82,0,1
667,304,639,3
668,5228,1104,1
669,2314,569,1
670,2890,638,2
671,5511,1271,1
672,720,175,1
673,5493,915,3
674,346,35,3
675,4104,927,1
676,2851,666,2
677,931,217,1
678,2337,583,2
679,3889,583,1
680,2652,174,1
681,2709,639,3
682,5504,1276,3
683,2141,506,1
684,1766,88,1
685,4448,1042,1
686,4402,612,1
687,4324,1011,1
688,5602,165,3
689,4653,1086,1
690,1144,278,3
691,1707,405,1
692,2774,720,3
693,4296,996,1
694,1677,411,3
695,2686,638,2
696,4550,1042,1
697,921,194,1
698,4044,915,1
699,2764,652,3
700,5141,1104,1
701,5036,996,1
702,3659,839,1
703,3993,915,2
704,1042,217,1
705,319,57,1
706,367,34,1
707,3865,606,1
708,3103,730,2
709,4762,1105,3
710,318,67,3
711,854,194,1
712,5181,1104,1
713,2885,661,2
714,986,224,1
715,826,638,2
716,494,94,3
717,2677,638,3
718,3674,746,1
719,701,169,1
720,3720,845,1
721,2352,568,1
722,2904,674,2
723,1078,460,2
724,4595,1042,1
725,3446,790,1
726,4371,1150,1
727,1066,215,3
728,1524,367,2
729,2057,506,3
730,4976,1157,1
731,279,34,1
732,3886,879,1
733,4052,916,4
734,1460,339,1
735,3935,879,1
736,5225,1207,1
737,3705,801,1
738,2285,547,1
739,2433,594,2
740,2141,506,1
741,2914,677,2
742,1059,238,2
743,1375,339,2
744,366,79,1
745,4020,927,1
746,3719,825,1
747,3500,813,1
748,274,58,1
749,3857,879,1
750,4497,707,1
751,2486,610,3
752,4067,935,3
753,3350,780,1
754,1478,358,2
755,1503,339,3
756,2348,565,2
757,761,181,1
758,2610,629,3
759,287,34,1
760,5541,1266,2
761,3077,707,1
762,879,741,1
763,4280,996,1
764,1877,453,2
765,774,165,1
766,819,190,1
767,3548,831,1
768,1291,300,1
769,2967,682,2
770,709,169,1
771,3597,829,1
772,3664,840,1
773,1561,339,1
774,3943,905,1
775,3663,840,1
776,2008,483,5
777,766,165,1
778,3203,733,1
779,5156,1208,1
780,958,215,1
781,179,1104,1
782,3562,832,1
783,554,98,1
784,3049,700,2
785,4041,433,2
786,138,0,1
787,754,178,3
788,4103,532,3
789,2497,611,2
790,1836,446,2
791,5609,165,1
792,3613,829,1
793,3597,829,1
794,2264,548,1
795,1399,352,2
796,1053,215,2
797,5036,996,1
798,5157,1208,1
799,3089,707,2
800,4749,1104,1
801,490,107,1
802,1521,339,1
803,4545,1069,1
804,4372,377,1
805,2870,661,1
806,2328,555,2
807,896,194,1
808,5201,1207,1
809,3103,730,2
810,616,94,1
811,2234,538,1
812,5390,1104,1
813,2222,519,1
814,4602,1079,1
815,2943,674,2
816,5500,1274,2
817,769,180,1
818,4610,1080,1
819,2683,639,2
820,1402,355,1
821,5009,1177,1
822,3889,583,1
823,3903,879,1
824,1402,355,1
825,2663,638,1
826,1640,392,1
827,3321,746,1
828,3701,829,1
829,1255,300,1
830,1867,215,2
831,715,1140,1
832,1941,1042,1
833,1715,376,1
834,411,34,1
835,790,171,3
836,4490,1042,1
837,3239,748,1
838,5012,1183,1
839,5238,1211,1
840,1809,434,1
841,5602,165,3
842,329,323,3
843,1430,370,1
844,950,216,1
845,139,25,1
846,858,205,2
847,3628,746,1
848,388,34,3
849,861,194,1
850,4885,1020,1
851,2179,506,3
852,5481,1266,1
853,5238,1211,1
854,4682,1086,1
855,2571,306,1
856,1921,461,1
857,1449,339,1
858,4569,1074,1
859,2666,638,3
860,3436,746,1
861,4727,1102,1
862,5044,1183,1
863,3249,167,1
864,1714,405,1
865,4432,1046,1
866,2312,554,1
867,1576,376,1
868,2875,1266,2
869,2011,483,1
870,2111,505,3
871,3238,746,1
872,790,171,3
873,2743,639,2
874,5228,1104,1
875,2060,433,3
876,4189,0,1
877,4595,1042,1
878,570,167,1
879,2454,600,2
880,1967,461,3
881,3821,879,1
882,2515,660,3
883,2810,661,1
884,1300,329,1
885,962,216,3
886,4325,33,1
887,190,35,1
888,4632,1086,1
889,5571,22,1
890,902,224,1
891,5346,1243,1
892,1231,300,1
893,754,178,3
894,2724,638,2
895,145,25,3
896,2015,483,1
897,1446,361,1
898,5298,1228,1
899,3580,829,1
900,194,35,3
901,5553,211,1
902,3903,879,1
903,1694,376,1
904,4952,1104,1
905,2850,666,3
906,1592,376,1
907,901,215,2
908,2810,661,1
909,4574,1078,1
910,5346,1243,1
911,2328,555,2
912,1009,1267,1
913,584,94,1
914,2515,660,3
915,3054,700,1
916,1013,95,2
917,2717,639,2
918,3293,746,1
919,3081,1104,1
920,1348,340,2
921,938,227,2
922,5319,1239,1
923,1407,370,1
924,1338,339,1
925,1754,423,3
926,259,34,1
927,5523,1266,1
928,346,35,3
929,5395,1244,1
930,621,147,1
931,3697,746,1
932,1866,215,1
933,1227,313,1
934,3705,801,1
935,1348,340,2
936,5534,1281,2
937,30,1007,1
938,2071,10,3
939,4644,483,1
940,1773,423,3
941,1588,376,1
942,2264,548,1
943,850,198,2
944,1918,462,1
945,2895,638,2
946,5535,1278,3
947,5590,194,1
948,5138,1204,1
949,5534,1281,2
950,5616,452,3
951,3921,554,1
952,4031,927,1
953,3188,638,1
954,2148,514,1
955,3623,829,1
956,1439,361,2
957,2880,670,2
958,812,189,3
959,341,72,5
960,2179,506,3
961,4736,1103,1
962,1967,461,3
963,1353,345,2
964,2821,661,3
965,1079,215,2
966,3919,902,1
967,2564,610,2
968,2352,568,1
969,2571,306,1
970,1033,216,1
971,3692,746,1
972,5168,1209,1
973,3976,915,1
974,4104,927,1
975,1931,461,1
976,5394,1245,1
977,5417,1221,1
978,3684,746,1
979,3039,695,1
980,2759,639,2
981,5242,1218,1
982,1687,406,1
983,3935,879,1
984,747,165,1
985,5584,1266,1
986,1866,215,1
987,4001,923,1
988,2576,610,2
989,3613,829,1
990,2816,661,1
991,4577,1077,1
992,299,57,3
993,5294,1221,3
994,44,10,1
995,373,80,3
996,194,35,3
997,5394,1245,1
998,2071,10,3
999,2334,554,1
1000,570,167,1
1001,4191,945,3
1002,244,34,3
1003,3590,746,1
1004,2139,506,1
1005,2880,670,2
1006,239,35,3
1007,1592,376,1
1008,2098,506,1
1009,2895,638,2
1010,1271,322,1
1011,1660,413,1
1012,3112,583,1
1013,2929,638,2
1014,2940,681,2
1015,751,190,1
1016,1681,403,1
1017,2170,999,3
1018,1504,367,1
1019,754,178,3
1020,4457,1051,1
1021,4183,939,1
1022,3012,683,1
1023,3881,899,1
1024,2155,519,5
1025,826,638,2
1026,2163,506,3
1027,2164,505,3
1028,4037,10,1
1029,4617,1042,1
1030,3396,746,3
1031,3628,746,1
1032,3202,611,1
1033,1849,447,2
1034,3149,711,2
1035,751,190,1
1036,3601,746,1
1037,2663,638,1
1038,1299,327,1
1039,1439,361,2
1040,2348,565,2
1041,4810,1011,1
1042,4682,1086,1
1043,4297,1095,1
1044,15,4,1
1045,4499,1042,1
1046,3003,682,2
1047,2909,676,2
1048,5546,1278,2
1049,3580,829,1
1050,4498,1042,1
1051,3636,746,5
1052,2984,682,1
1053,1013,95,2
1054,4022,929,1
1055,715,1140,1
1056,3965,879,1
1057,1714,405,1
1058,962,216,3
1059,2088,506,1
1060,5156,1208,1
1061,110,0,1
1062,274,58,1
1063,2271,865,1
1064,3900,903,1
1065,3720,845,1
1066,4716,34,1
1067,4084,915,1
1068,2821,661,3
1069,1,21,1
1070,1067,215,1
1071,624,94,1
1072,3158,720,1
1073,4713,1042,1
1074,4166,951,3
1075,4707,545,1
1076,1413,357,1
1077,5157,1208,1
1078,1078,460,2
1079,3870,879,1
1080,4498,1042,1
1081,2795,652,2
1082,12,1,1
1083,594,94,1
1084,3632,829,1
1085,5583,1287,1
1086,3027,695,1
1087,288,57,3
1088,2154,506,1
1089,4448,1042,1
1090,2074,505,3
1091,755,165,1
1092,3790,882,1
1093,4905,1104,1
1094,3888,879,1
1095,5103,1200,1
1096,1640,392,1
1097,4044,915,1
1098,1988,486,2
1099,5476,208,2
1100,4665,1092,1
1101,171,35,1
1102,2222,519,1
1103,4056,919,3
1104,4074,922,1
1105,686,166,1
1106,5517,454,2
1107,2542,618,2
1108,1941,1042,1
1109,5463,1270,1
1110,3689,841,1
1111,3635,746,1
1112,4762,1105,3
1113,4490,1042,1
1114,5123,1204,1
1115,4689,1092,1
1116,4475,542,1
1117,2400,702,1
1118,482,104,1
1119,1787,423,1
1120,3940,879,1
1121,5516,1266,2
1122,2064,10,3
1123,3064,682,1
1124,2581,733,2
1125,1585,380,1
1126,3399,1190,1
1127,2073,506,5
1128,1463,339,3
1129,5243,1104,1
1130,4915,1104,1
1131,3965,879,1
1132,201,44,3
1133,2737,639,3
1134,4191,945,3
1135,642,155,1
1136,1531,372,1
1137,4096,929,2
1138,1323,332,1
1139,4124,946,3
1140,2958,579,1
1141,812,189,3
1142,2128,506,3
1143,2273,549,1
1144,3834,890,1
1145,2504,610,2
1146,4652,1091,1
1147,5344,1241,1
1148,2922,585,2
1149,36,1104,1
1150,2779,681,2
1151,147,0,1
1152,1053,215,2
1153,3988,929,1
1154,1873,243,3
1155,5238,1211,1
1156,4334,996,1
1157,8,0,1
1158,2008,483,5
1159,613,147,1
1160,5510,1276,2
1161,1921,461,1
1162,678,165,1
1163,4877,980,1
1164,3038,579,2
1165,51,9,3
1166,4009,440,1
1167,1595,410,1
1168,583,1036,1
1169,5612,193,1
1170,641,147,1
1171,5488,1278,1
1172,1478,358,2
1173,304,639,3
1174,1984,483,1
1175,3845,879,1
1176,5314,1237,1
1177,2696,651,1
1178,80,1006,1
1179,3662,829,1
1180,1271,322,1
1181,2504,610,2
1182,3237,746,1
1183,3339,746,2
1184,4074,922,1
1185,416,34,3
1186,5220,1104,1
1187,1677,411,3
1188,3862,879,1
1189,4367,1023,1
1190,1858,152,1
1191,2084,417,3
1192,1057,215,2
1193,5528,1283,2
1194,309,65,3
1195,3889,583,1
1196,3177,166,1
1197,2497,611,2
1198,5469,1269,3
1199,4762,1105,3
1200,2709,639,3
1201,3470,766,3
1202,3158,720,1
1203,3948,905,1
1204,3133,711,2
1205,325,65,3
1206,5110,1200,1
1207,871,1267,2
1208,330,550,1
1209,4022,929,1
1210,3646,829,1
1211,5289,1230,1
1212,5283,1221,1
1213,3077,707,1
1214,5395,1244,1
1215,961,433,2
1216,3249,167,1
1217,2103,506,1
1218,1544,347,2
1219,2989,682,2
1220,2597,629,2
1221,5603,177,2
1222,1531,372,1
1223,2272,549,1
1224,3177,166,1
1225,3102,714,1
1226,673,1104,1
1227,3573,746,2
1228,5577,1290,2
1229,1660,413,1
1230,1414,357,2
1231,5487,1266,2
1232,3562,832,1
1233,51,9,3
1234,5535,1278,3
1235,4683,1078,1
1236,5103,1200,1
1237,3192,732,1
1238,2978,688,2
1239,3094,707,2
1240,623,94,1
1241,2163,506,3
1242,4470,1042,1
1243,5212,1104,1
1244,5009,1177,1
1245,3903,879,1
1246,4583,1077,1
1247,2804,1109,1
1248,2060,433,3
1249,2143,506,3
1250,421,34,1
1251,3120,715,1
1252,1852,1293,2
1253,373,80,3
1254,222,639,1
1255,2154,506,1
1256,1841,440,2
1257,5371,610,2
1258,5153,1208,1
1259,3015,363,2
1260,1562,375,3
1261,5411,1251,1
1262,4725,1042,1
1263,4523,1058,1
1264,4695,1100,1
1265,3149,711,2
1266,3842,888,1
1267,4071,915,1
1268,858,205,2
1269,100,25,1
1270,893,1266,1
1271,5225,1207,1
1272,5005,1104,1
1273,2737,639,3
1274,446,94,1
1275,1488,369,2
1276,2795,652,2
1277,3213,727,1
1278,2053,505,3
1279,4865,821,1
1280,179,1104,1
1281,100,25,1
1282,2804,1109,1
1283,2357,343,2
1284,5411,1251,1
1285,211,46,3
1286,3134,711,1
1287,4101,942,1
1288,5131,1104,1
1289,5427,1257,1
1290,3461,746,1
1291,1715,376,1
1292,5353,1242,1
1293,2699,645,3
1294,743,178,1
1295,4214,945,3
1296,4910,1145,3
1297,1581,380,1
1298,1276,323,1
1299,89,0,1
1300,5475,211,1
1301,383,1042,1
1302,5346,1243,1
1303,769,180,1
1304,988,437,3
1305,3870,879,1
1306,1858,152,1
1307,3500,813,1
1308,304,639,3
1309,4910,1145,3
1310,5552,490,1
1311,294,34,1
1312,583,1036,1
1313,3488,812,1
1314,5157,1208,1
1315,2053,505,3
1316,4486,1056,1
1317,2080,511,5
1318,1333,367,1
1319,2810,661,1
1320,4736,1103,1
1321,1059,238,2
1322,4605,1099,1
1323,1546,342,1
1324,2692,638,2
1325,387,82,1
1326,3563,829,1
1327,4727,1102,1
1328,4052,916,4
1329,2832,661,1
1330,1504,367,1
1331,2103,506,1
1332,2977,579,2
1333,3664,840,1
1334,2273,549,1
1335,4064,915,1
1336,1858,152,1
1337,1953,461,3
1338,5481,1266,1
1339,3157,721,1
1340,81,0,1
1341,438,167,1
1342,2977,579,2
1343,5517,454,2
1344,3646,829,1
1345,1960,472,5
1346,1385,339,2
1347,621,147,1
1348,4665,1092,1
1349,2312,554,1
1350,4625,462,1
1351,154,34,1
1352,5372,1221,1
1353,2490,611,1
1354,4677,746,3
1355,3089,707,2
1356,2954,682,1
1357,946,215,1
1358,2743,639,2
1359,5235,1207,1
1360,4497,707,1
1361,4030,936,2
1362,3038,579,2
1363,4486,1056,1
1364,2576,610,2
1365,3034,695,1
1366,2064,10,3
1367,3499,815,1
1368,2155,519,5
1369,2080,511,5
1370,5607,180,4
1371,3102,714,1
1372,2088,506,1
1373,743,178,1
1374,4085,915,1
1375,2748,639,3
1376,4545,1069,1
1377,5328,1240,1
1378,4727,1102,1
1379,1960,472,5
1380,309,65,3
1381,81,0,1
1382,1463,339,3
1383,5116,1200,1
1384,641,147,1
1385,4632,1086,1
1386,5610,638,3
1387,206,92,1
1388,834,190,1
1389,1038,230,3
1390,1877,453,2
1391,2750,651,3
1392,5289,1230,1
1393,1486,0,0
1394,850,198,2
1395,3339,746,2
1396,3419,793,1
1397,234,34,1
1398,3538,829,1
1399,2922,585,2
1400,3396,746,3
1401,4049,915,2
1402,3715,845,1
1403,4367,1023,1
1404,5505,1266,4
1405,1429,339,1
1406,5201,1207,1
1407,4458,1046,1
1408,3881,899,1
1409,5577,1290,2
1410,4736,1103,1
1411,1255,300,1
1412,5104,1201,1
1413,5017,1104,1
1414,5191,1211,1
1415,2500,611,2
1416,1255,300,1
1417,4677,746,3
1418,878,1267,3
1419,2455,554,1
1420,3635,746,1
1421,88,12,1
1422,1798,300,1
1423,2978,688,2
1424,2869,638,2
1425,400,82,1
1426,2191,1058,1
1427,3907,879,1
1428,5017,1104,1
1429,5206,1213,1
1430,5565,1287,1
1431,4096,929,2
1432,5430,1258,1
1433,5417,1221,1
1434,2536,620,2
1435,4458,1046,1
1436,4676,774,1
1437,1585,380,1
1438,2960,685,2
1439,2478,601,1
1440,2486,610,3
1441,861,194,1
1442,2958,579,1
1443,1503,339,3
1444,5181,1104,1
1445,4900,1104,1
1446,1348,340,2
1447,4439,1046,1
1448,80,1006,1
1449,1078,460,2
1450,1911,462,1
1451,1502,372,2
1452,4037,10,1
1453,3865,606,1
1454,2516,610,1
1455,4013,780,1
1456,1581,380,1
1457,720,175,1
1458,701,169,1
1459,1,21,1
1460,2666,638,3
1461,4384,1030,1
1462,3350,780,1
1463,2454,600,2
1464,249,53,3
1465,4614,1042,1
1466,2850,666,3
1467,854,194,1
1468,889,851,1
1469,2490,611,1
1470,1715,376,1
1471,2749,648,2
1472,608,147,1
1473,4602,1079,1
1474,2139,506,1
1475,5594,165,1
1476,4689,1092,1
1477,554,98,1
1478,1446,361,1
1479,2568,1008,1
1480,737,165,2
1481,3446,790,1
1482,1984,483,1
1483,4497,707,1
1484,4334,996,1
1485,4402,612,1
1486,5283,1221,1
1487,686,166,1
1488,2411,554,1
1489,3123,716,2
1490,4870,1036,1
